AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Malignant|~|39998876|Female|Anaplastic oligodendroglioma|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic oligodendroglioma|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Anaplastic oligodendroglioma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40633964|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Malignant|~|40633964|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40465313|Female|Anaplastic oligodendroglioma|2011|~|~|~
0-19|~|~|~|Malignant|~|40465313|Female|Anaplastic oligodendroglioma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40314778|Female|Anaplastic oligodendroglioma|2012|~|~|~
0-19|~|~|~|Malignant|~|40314778|Female|Anaplastic oligodendroglioma|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|40221756|Female|Anaplastic oligodendroglioma|2013|~|~|~
0-19|~|~|~|Malignant|~|40221756|Female|Anaplastic oligodendroglioma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40166969|Female|Anaplastic oligodendroglioma|2014|~|~|~
0-19|~|~|~|Malignant|~|40166969|Female|Anaplastic oligodendroglioma|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165125|Female|Anaplastic oligodendroglioma|2015|~|~|~
0-19|~|~|~|Malignant|~|40165125|Female|Anaplastic oligodendroglioma|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|198751799|Female|Anaplastic oligodendroglioma|2015-2019|~|~|~
0-19|~|~|~|Malignant|~|198751799|Female|Anaplastic oligodendroglioma|2015-2019|~|~|~
0-19|~|~|~|Benign/Borderline|~|40190633|Female|Anaplastic oligodendroglioma|2016|~|~|~
0-19|~|~|~|Malignant|~|40190633|Female|Anaplastic oligodendroglioma|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|40166755|Female|Anaplastic oligodendroglioma|2017|~|~|~
0-19|~|~|~|Malignant|~|40166755|Female|Anaplastic oligodendroglioma|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|39723250|Female|Anaplastic oligodendroglioma|2018|~|~|~
0-19|~|~|~|Malignant|~|39723250|Female|Anaplastic oligodendroglioma|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|39588700|Female|Anaplastic oligodendroglioma|2019|~|~|~
0-19|~|~|~|Malignant|~|39588700|Female|Anaplastic oligodendroglioma|2019|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Astrocytoma, NOS|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|93|39865121|Female|Astrocytoma, NOS|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Astrocytoma, NOS|2005|~|~|~
0-19|0.2|0.3|0.2|Malignant|93|39998876|Female|Astrocytoma, NOS|2005|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Astrocytoma, NOS|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|89|40165421|Female|Astrocytoma, NOS|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Astrocytoma, NOS|2007|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|40382360|Female|Astrocytoma, NOS|2007|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Astrocytoma, NOS|2008|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|40576293|Female|Astrocytoma, NOS|2008|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Astrocytoma, NOS|2009|~|~|~
0-19|0.2|0.3|0.2|Malignant|98|40670476|Female|Astrocytoma, NOS|2009|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40633964|Female|Astrocytoma, NOS|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|92|40633964|Female|Astrocytoma, NOS|2010|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40465313|Female|Astrocytoma, NOS|2011|~|~|~
0-19|0.2|0.2|0.2|Malignant|81|40465313|Female|Astrocytoma, NOS|2011|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40314778|Female|Astrocytoma, NOS|2012|~|~|~
0-19|0.2|0.3|0.2|Malignant|83|40314778|Female|Astrocytoma, NOS|2012|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40221756|Female|Astrocytoma, NOS|2013|~|~|~
0-19|0.2|0.3|0.3|Malignant|102|40221756|Female|Astrocytoma, NOS|2013|0.2|0.3|0.3
0-19|~|~|~|Benign/Borderline|~|40166969|Female|Astrocytoma, NOS|2014|~|~|~
0-19|0.2|0.3|0.3|Malignant|103|40166969|Female|Astrocytoma, NOS|2014|0.2|0.3|0.3
0-19|~|~|~|Benign/Borderline|~|40165125|Female|Astrocytoma, NOS|2015|~|~|~
0-19|0.1|0.2|0.2|Malignant|74|40165125|Female|Astrocytoma, NOS|2015|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|198751799|Female|Astrocytoma, NOS|2015-2019|~|~|~
0-19|0.2|0.2|0.2|Malignant|386|198751799|Female|Astrocytoma, NOS|2015-2019|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40190633|Female|Astrocytoma, NOS|2016|~|~|~
0-19|0.2|0.3|0.2|Malignant|82|40190633|Female|Astrocytoma, NOS|2016|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40166755|Female|Astrocytoma, NOS|2017|~|~|~
0-19|0.2|0.2|0.2|Malignant|78|40166755|Female|Astrocytoma, NOS|2017|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39723250|Female|Astrocytoma, NOS|2018|~|~|~
0-19|0.2|0.3|0.2|Malignant|84|39723250|Female|Astrocytoma, NOS|2018|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39588700|Female|Astrocytoma, NOS|2019|~|~|~
0-19|0.1|0.2|0.2|Malignant|70|39588700|Female|Astrocytoma, NOS|2019|0.1|0.2|0.2
0-19|0.1|0.1|0.1|Benign/Borderline|30|39865121|Female|Choroid plexus|2004|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|39865121|Female|Choroid plexus|2004|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|21|39998876|Female|Choroid plexus|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39998876|Female|Choroid plexus|2005|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|40165421|Female|Choroid plexus|2006|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40165421|Female|Choroid plexus|2006|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|30|40382360|Female|Choroid plexus|2007|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40382360|Female|Choroid plexus|2007|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|42|40576293|Female|Choroid plexus|2008|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40576293|Female|Choroid plexus|2008|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|40670476|Female|Choroid plexus|2009|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40670476|Female|Choroid plexus|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|29|40633964|Female|Choroid plexus|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40633964|Female|Choroid plexus|2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|27|40465313|Female|Choroid plexus|2011|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40465313|Female|Choroid plexus|2011|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|26|40314778|Female|Choroid plexus|2012|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40314778|Female|Choroid plexus|2012|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|29|40221756|Female|Choroid plexus|2013|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40221756|Female|Choroid plexus|2013|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|40166969|Female|Choroid plexus|2014|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40166969|Female|Choroid plexus|2014|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|31|40165125|Female|Choroid plexus|2015|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40165125|Female|Choroid plexus|2015|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|136|198751799|Female|Choroid plexus|2015-2019|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|35|198751799|Female|Choroid plexus|2015-2019|0.0|0.0|0.0
0-19|0.0|0.1|0.1|Benign/Borderline|23|40190633|Female|Choroid plexus|2016|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40190633|Female|Choroid plexus|2016|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|34|40166755|Female|Choroid plexus|2017|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40166755|Female|Choroid plexus|2017|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|27|39723250|Female|Choroid plexus|2018|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39723250|Female|Choroid plexus|2018|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|39588700|Female|Choroid plexus|2019|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39588700|Female|Choroid plexus|2019|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|84|39865121|Female|Craniopharyngioma|2004|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|39865121|Female|Craniopharyngioma|2004|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|78|39998876|Female|Craniopharyngioma|2005|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|39998876|Female|Craniopharyngioma|2005|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|77|40165421|Female|Craniopharyngioma|2006|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40165421|Female|Craniopharyngioma|2006|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|96|40382360|Female|Craniopharyngioma|2007|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40382360|Female|Craniopharyngioma|2007|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|66|40576293|Female|Craniopharyngioma|2008|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40576293|Female|Craniopharyngioma|2008|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|91|40670476|Female|Craniopharyngioma|2009|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40670476|Female|Craniopharyngioma|2009|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|92|40633964|Female|Craniopharyngioma|2010|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40633964|Female|Craniopharyngioma|2010|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|87|40465313|Female|Craniopharyngioma|2011|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40465313|Female|Craniopharyngioma|2011|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|78|40314778|Female|Craniopharyngioma|2012|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40314778|Female|Craniopharyngioma|2012|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|89|40221756|Female|Craniopharyngioma|2013|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40221756|Female|Craniopharyngioma|2013|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|93|40166969|Female|Craniopharyngioma|2014|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40166969|Female|Craniopharyngioma|2014|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|81|40165125|Female|Craniopharyngioma|2015|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40165125|Female|Craniopharyngioma|2015|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|351|198751799|Female|Craniopharyngioma|2015-2019|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|198751799|Female|Craniopharyngioma|2015-2019|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|68|40190633|Female|Craniopharyngioma|2016|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40190633|Female|Craniopharyngioma|2016|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|79|40166755|Female|Craniopharyngioma|2017|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|40166755|Female|Craniopharyngioma|2017|~|~|~
0-19|0.1|0.2|0.1|Benign/Borderline|53|39723250|Female|Craniopharyngioma|2018|0.1|0.2|0.1
0-19|~|~|~|Malignant|~|39723250|Female|Craniopharyngioma|2018|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|74|39588700|Female|Craniopharyngioma|2019|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|39588700|Female|Craniopharyngioma|2019|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Diffuse astrocytoma|2004|~|~|~
0-19|0.0|0.1|0.1|Malignant|20|39865121|Female|Diffuse astrocytoma|2004|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Diffuse astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|39998876|Female|Diffuse astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Diffuse astrocytoma|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|40382360|Female|Diffuse astrocytoma|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Diffuse astrocytoma|2008|~|~|~
0-19|0.0|0.1|0.1|Malignant|21|40576293|Female|Diffuse astrocytoma|2008|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Diffuse astrocytoma|2009|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40670476|Female|Diffuse astrocytoma|2009|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40633964|Female|Diffuse astrocytoma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|+|40633964|Female|Diffuse astrocytoma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40465313|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Malignant|~|40465313|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40314778|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Malignant|~|40314778|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|40221756|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Malignant|~|40221756|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40166969|Female|Diffuse astrocytoma|2014|~|~|~
0-19|~|~|~|Malignant|~|40166969|Female|Diffuse astrocytoma|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165125|Female|Diffuse astrocytoma|2015|~|~|~
0-19|~|~|~|Malignant|~|40165125|Female|Diffuse astrocytoma|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|198751799|Female|Diffuse astrocytoma|2015-2019|~|~|~
0-19|~|~|~|Malignant|~|198751799|Female|Diffuse astrocytoma|2015-2019|~|~|~
0-19|~|~|~|Benign/Borderline|~|40190633|Female|Diffuse astrocytoma|2016|~|~|~
0-19|~|~|~|Malignant|~|40190633|Female|Diffuse astrocytoma|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|40166755|Female|Diffuse astrocytoma|2017|~|~|~
0-19|~|~|~|Malignant|~|40166755|Female|Diffuse astrocytoma|2017|~|~|~
0-19|~|~|~|Benign/Borderline|~|39723250|Female|Diffuse astrocytoma|2018|~|~|~
0-19|~|~|~|Malignant|~|39723250|Female|Diffuse astrocytoma|2018|~|~|~
0-19|~|~|~|Benign/Borderline|~|39588700|Female|Diffuse astrocytoma|2019|~|~|~
0-19|~|~|~|Malignant|~|39588700|Female|Diffuse astrocytoma|2019|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Embryonal/primitive/medulloblastoma|2004|~|~|~
0-19|0.5|0.6|0.5|Malignant|215|39865121|Female|Embryonal/primitive/medulloblastoma|2004|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Embryonal/primitive/medulloblastoma|2005|~|~|~
0-19|0.4|0.5|0.5|Malignant|186|39998876|Female|Embryonal/primitive/medulloblastoma|2005|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Embryonal/primitive/medulloblastoma|2006|~|~|~
0-19|0.4|0.6|0.5|Malignant|204|40165421|Female|Embryonal/primitive/medulloblastoma|2006|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Embryonal/primitive/medulloblastoma|2007|~|~|~
0-19|0.5|0.6|0.5|Malignant|219|40382360|Female|Embryonal/primitive/medulloblastoma|2007|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Embryonal/primitive/medulloblastoma|2008|~|~|~
0-19|0.5|0.6|0.6|Malignant|229|40576293|Female|Embryonal/primitive/medulloblastoma|2008|0.5|0.6|0.6
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Embryonal/primitive/medulloblastoma|2009|~|~|~
0-19|0.4|0.6|0.5|Malignant|204|40670476|Female|Embryonal/primitive/medulloblastoma|2009|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40633964|Female|Embryonal/primitive/medulloblastoma|2010|~|~|~
0-19|0.4|0.5|0.4|Malignant|175|40633964|Female|Embryonal/primitive/medulloblastoma|2010|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|40465313|Female|Embryonal/primitive/medulloblastoma|2011|~|~|~
0-19|0.4|0.6|0.5|Malignant|196|40465313|Female|Embryonal/primitive/medulloblastoma|2011|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40314778|Female|Embryonal/primitive/medulloblastoma|2012|~|~|~
0-19|0.4|0.5|0.4|Malignant|181|40314778|Female|Embryonal/primitive/medulloblastoma|2012|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|40221756|Female|Embryonal/primitive/medulloblastoma|2013|~|~|~
0-19|0.4|0.5|0.5|Malignant|187|40221756|Female|Embryonal/primitive/medulloblastoma|2013|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40166969|Female|Embryonal/primitive/medulloblastoma|2014|~|~|~
0-19|0.5|0.6|0.5|Malignant|212|40166969|Female|Embryonal/primitive/medulloblastoma|2014|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40165125|Female|Embryonal/primitive/medulloblastoma|2015|~|~|~
0-19|0.4|0.5|0.5|Malignant|191|40165125|Female|Embryonal/primitive/medulloblastoma|2015|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|198751799|Female|Embryonal/primitive/medulloblastoma|2015-2019|~|~|~
0-19|0.4|0.4|0.4|Malignant|801|198751799|Female|Embryonal/primitive/medulloblastoma|2015-2019|0.4|0.4|0.4
0-19|~|~|~|Benign/Borderline|~|40190633|Female|Embryonal/primitive/medulloblastoma|2016|~|~|~
0-19|0.4|0.5|0.4|Malignant|178|40190633|Female|Embryonal/primitive/medulloblastoma|2016|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|40166755|Female|Embryonal/primitive/medulloblastoma|2017|~|~|~
0-19|0.4|0.5|0.4|Malignant|170|40166755|Female|Embryonal/primitive/medulloblastoma|2017|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|39723250|Female|Embryonal/primitive/medulloblastoma|2018|~|~|~
0-19|0.3|0.5|0.4|Malignant|154|39723250|Female|Embryonal/primitive/medulloblastoma|2018|0.3|0.5|0.4
