AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|15136428|1999
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|15136428|1999
1-4|2.7|4.7|3.6|54|X Germ cell, trophoblastic tumors & neoplasms of gonads|15136428|1999
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|15136428|1999
1-4|1.0|2.4|1.6|24|X(b) Malignant extracranial & extragonadal germ cell tumors|15136428|1999
1-4|1.0|2.3|1.5|23|X(c) Malignant gonadal germ cell tumors|15136428|1999
1-4|~|~|~|~|X(d) Gonadal carcinomas|15136428|1999
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15136428|1999
1-4|0.7|1.9|1.2|18|XI Other malignant epithelial neoplasms and malignant melanomas|15136428|1999
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|15136428|1999
1-4|~|~|~|~|XI(b) Thyroid carcinomas|15136428|1999
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|15136428|1999
1-4|~|~|~|~|XI(d) Malignant melanomas|15136428|1999
1-4|~|~|~|~|XI(e) Skin carcinomas|15136428|1999
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15136428|1999
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|15136428|1999
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15136428|1999
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15136428|1999
10-14|119.5|129.3|124.3|2478|All ICCC Groups Combined|19935660|1999
10-14|26.2|30.9|28.5|568|I Leukemias, myeloproliferative & myelodysplastic diseases|19935660|1999
10-14|18.0|22.0|19.9|397|I(a) Lymphoid leukemias|19935660|1999
10-14|5.4|7.6|6.4|128|I(b) Acute myeloid leukemias|19935660|1999
10-14|0.5|1.4|0.9|18|I(c) Chronic myeloproliferative diseases|19935660|1999
10-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19935660|1999
10-14|0.7|1.7|1.2|23|I(e) Unspecified and other specified leukemias|19935660|1999
10-14|21.6|26.0|23.7|473|II Lymphomas and reticuloendothelial neoplasms|19935660|1999
10-14|10.1|13.2|11.6|231|II(a) Hodgkin lymphomas|19935660|1999
10-14|7.0|9.5|8.2|163|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19935660|1999
10-14|2.2|3.8|2.9|58|II(c) Burkitt lymphoma|19935660|1999
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19935660|1999
10-14|~|~|~|~|II(e) Unspecified lymphomas|19935660|1999
10-14|23.9|28.4|26.1|520|III CNS and misc intracranial and intraspinal neoplasms|19935660|1999
10-14|1.6|3.0|2.3|45|III(a) Ependymomas and choroid plexus tumor|19935660|1999
10-14|12.4|15.8|14.0|280|III(b) Astrocytomas|19935660|1999
10-14|4.6|6.8|5.6|112|III(c) Intracranial and intraspinal embryonal tumors|19935660|1999
10-14|2.6|4.3|3.4|68|III(d) Other gliomas|19935660|1999
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19935660|1999
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19935660|1999
10-14|0.7|1.7|1.2|23|IV Neuroblastoma and other peripheral nervous cell tumors|19935660|1999
10-14|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|19935660|1999
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19935660|1999
10-14|7.9|10.7|9.2|184|IX Soft tissue and other extraosseous sarcomas|19935660|1999
10-14|2.5|4.2|3.3|65|IX(a) Rhabdomyosarcomas|19935660|1999
10-14|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19935660|1999
10-14|~|~|~|~|IX(c) Kaposi sarcoma|19935660|1999
10-14|3.2|5.0|4.0|80|IX(d) Other specified soft tissue sarcomas|19935660|1999
10-14|0.8|1.8|1.2|24|IX(e) Unspecified soft tissue sarcomas|19935660|1999
10-14|~|~|~|~|Not classified by ICCC|19935660|1999
10-14|~|~|~|~|V Retinoblastoma|19935660|1999
10-14|0.8|1.8|1.2|24|VI Renal tumors|19935660|1999
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19935660|1999
10-14|~|~|~|~|VI(b) Renal carcinomas|19935660|1999
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|19935660|1999
10-14|~|~|~|~|VII Hepatic tumors|19935660|1999
10-14|~|~|~|~|VII(a) Hepatoblastoma|19935660|1999
10-14|~|~|~|~|VII(b) Hepatic carcinomas|19935660|1999
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19935660|1999
10-14|12.4|15.8|14.0|280|VIII Malignant bone tumors|19935660|1999
10-14|7.6|10.3|8.9|177|VIII(a) Osteosarcomas|19935660|1999
10-14|~|~|~|~|VIII(b) Chondrosarcomas|19935660|1999
10-14|3.5|5.3|4.3|86|VIII(c) Ewing tumor and related sarcomas of bone|19935660|1999
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|19935660|1999
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19935660|1999
10-14|5.6|7.9|6.7|133|X Germ cell, trophoblastic tumors & neoplasms of gonads|19935660|1999
10-14|1.8|3.2|2.5|49|X(a) Intracranial & intraspinal germ cell tumors|19935660|1999
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19935660|1999
10-14|2.5|4.2|3.3|65|X(c) Malignant gonadal germ cell tumors|19935660|1999
10-14|~|~|~|~|X(d) Gonadal carcinomas|19935660|1999
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19935660|1999
10-14|10.9|14.1|12.4|248|XI Other malignant epithelial neoplasms and malignant melanomas|19935660|1999
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|19935660|1999
10-14|2.9|4.7|3.7|74|XI(b) Thyroid carcinomas|19935660|1999
10-14|0.7|1.6|1.1|21|XI(c) Nasopharyngeal carcinomas|19935660|1999
10-14|2.9|4.7|3.7|74|XI(d) Malignant melanomas|19935660|1999
10-14|~|~|~|~|XI(e) Skin carcinomas|19935660|1999
10-14|2.6|4.3|3.4|68|XI(f) Other and unspecified carcinomas|19935660|1999
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|19935660|1999
10-14|~|~|~|~|XII(a) Other specified malignant tumors|19935660|1999
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|19935660|1999
15-19|190.9|203.3|197.0|3898|All ICCC Groups Combined|19785979|1999
15-19|24.4|29.0|26.6|527|I Leukemias, myeloproliferative & myelodysplastic diseases|19785979|1999
15-19|12.3|15.6|13.8|274|I(a) Lymphoid leukemias|19785979|1999
15-19|8.0|10.7|9.3|184|I(b) Acute myeloid leukemias|19785979|1999
15-19|1.7|3.0|2.3|45|I(c) Chronic myeloproliferative diseases|19785979|1999
15-19|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19785979|1999
15-19|0.7|1.7|1.2|23|I(e) Unspecified and other specified leukemias|19785979|1999
15-19|43.8|49.9|46.8|925|II Lymphomas and reticuloendothelial neoplasms|19785979|1999
15-19|28.4|33.4|30.8|610|II(a) Hodgkin lymphomas|19785979|1999
15-19|11.1|14.3|12.6|250|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19785979|1999
15-19|1.4|2.8|2.0|40|II(c) Burkitt lymphoma|19785979|1999
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19785979|1999
15-19|0.7|1.7|1.2|23|II(e) Unspecified lymphomas|19785979|1999
15-19|17.9|21.8|19.8|391|III CNS and misc intracranial and intraspinal neoplasms|19785979|1999
15-19|1.0|2.2|1.5|30|III(a) Ependymomas and choroid plexus tumor|19785979|1999
15-19|9.8|12.9|11.3|223|III(b) Astrocytomas|19785979|1999
15-19|2.3|3.8|3.0|59|III(c) Intracranial and intraspinal embryonal tumors|19785979|1999
15-19|2.4|4.1|3.2|63|III(d) Other gliomas|19785979|1999
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19785979|1999
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19785979|1999
15-19|0.7|1.7|1.1|22|IV Neuroblastoma and other peripheral nervous cell tumors|19785979|1999
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|19785979|1999
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19785979|1999
15-19|13.5|17.0|15.2|301|IX Soft tissue and other extraosseous sarcomas|19785979|1999
15-19|2.6|4.3|3.4|67|IX(a) Rhabdomyosarcomas|19785979|1999
15-19|1.1|2.3|1.7|33|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19785979|1999
15-19|~|~|~|~|IX(c) Kaposi sarcoma|19785979|1999
15-19|6.6|9.2|7.8|155|IX(d) Other specified soft tissue sarcomas|19785979|1999
15-19|1.6|3.0|2.2|44|IX(e) Unspecified soft tissue sarcomas|19785979|1999
15-19|~|~|~|~|Not classified by ICCC|19785979|1999
15-19|~|~|~|~|V Retinoblastoma|19785979|1999
15-19|0.9|2.0|1.4|27|VI Renal tumors|19785979|1999
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19785979|1999
15-19|0.5|1.4|0.9|17|VI(b) Renal carcinomas|19785979|1999
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|19785979|1999
15-19|1.1|2.3|1.6|32|VII Hepatic tumors|19785979|1999
15-19|~|~|~|~|VII(a) Hepatoblastoma|19785979|1999
15-19|1.0|2.2|1.5|30|VII(b) Hepatic carcinomas|19785979|1999
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19785979|1999
15-19|12.2|15.5|13.8|273|VIII Malignant bone tumors|19785979|1999
15-19|6.6|9.1|7.8|154|VIII(a) Osteosarcomas|19785979|1999
15-19|0.5|1.4|0.9|18|VIII(b) Chondrosarcomas|19785979|1999
15-19|3.0|4.8|3.8|76|VIII(c) Ewing tumor and related sarcomas of bone|19785979|1999
15-19|0.7|1.6|1.1|21|VIII(d) Other specified malignant bone tumors|19785979|1999
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19785979|1999
15-19|23.1|27.5|25.2|499|X Germ cell, trophoblastic tumors & neoplasms of gonads|19785979|1999
15-19|1.2|2.4|1.7|34|X(a) Intracranial & intraspinal germ cell tumors|19785979|1999
15-19|0.9|2.0|1.4|28|X(b) Malignant extracranial & extragonadal germ cell tumors|19785979|1999
15-19|18.2|22.2|20.1|398|X(c) Malignant gonadal germ cell tumors|19785979|1999
15-19|0.9|2.0|1.4|27|X(d) Gonadal carcinomas|19785979|1999
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19785979|1999
15-19|40.6|46.5|43.5|860|XI Other malignant epithelial neoplasms and malignant melanomas|19785979|1999
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|19785979|1999
15-19|15.9|19.7|17.7|351|XI(b) Thyroid carcinomas|19785979|1999
15-19|0.6|1.5|1.0|19|XI(c) Nasopharyngeal carcinomas|19785979|1999
15-19|12.0|15.3|13.6|269|XI(d) Malignant melanomas|19785979|1999
15-19|~|~|~|~|XI(e) Skin carcinomas|19785979|1999
15-19|9.4|12.3|10.8|213|XI(f) Other and unspecified carcinomas|19785979|1999
15-19|1.2|2.4|1.7|34|XII Other and unspecified malignant neoplasms|19785979|1999
15-19|~|~|~|~|XII(a) Other specified malignant tumors|19785979|1999
15-19|0.9|2.0|1.4|28|XII(b) Other unspecified malignant tumors|19785979|1999
5-9|105.7|114.9|110.3|2242|All ICCC Groups Combined|20334315|1999
5-9|33.5|38.8|36.1|734|I Leukemias, myeloproliferative & myelodysplastic diseases|20334315|1999
5-9|27.6|32.4|29.9|608|I(a) Lymphoid leukemias|20334315|1999
5-9|3.9|5.8|4.8|97|I(b) Acute myeloid leukemias|20334315|1999
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|20334315|1999
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20334315|1999
5-9|0.4|1.3|0.8|16|I(e) Unspecified and other specified leukemias|20334315|1999
5-9|11.6|14.9|13.2|268|II Lymphomas and reticuloendothelial neoplasms|20334315|1999
5-9|3.1|4.9|3.9|80|II(a) Hodgkin lymphomas|20334315|1999
5-9|4.4|6.4|5.3|108|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20334315|1999
5-9|2.5|4.1|3.2|65|II(c) Burkitt lymphoma|20334315|1999
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20334315|1999
5-9|~|~|~|~|II(e) Unspecified lymphomas|20334315|1999
5-9|30.1|35.1|32.6|662|III CNS and misc intracranial and intraspinal neoplasms|20334315|1999
5-9|1.7|3.0|2.3|46|III(a) Ependymomas and choroid plexus tumor|20334315|1999
5-9|12.7|16.1|14.3|291|III(b) Astrocytomas|20334315|1999
5-9|7.1|9.6|8.3|168|III(c) Intracranial and intraspinal embryonal tumors|20334315|1999
5-9|5.7|8.0|6.7|137|III(d) Other gliomas|20334315|1999
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20334315|1999
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20334315|1999
5-9|2.1|3.6|2.8|57|IV Neuroblastoma and other peripheral nervous cell tumors|20334315|1999
5-9|2.0|3.5|2.7|55|IV(a) Neuroblastoma and ganglioneuroblastoma|20334315|1999
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20334315|1999
5-9|7.1|9.6|8.3|168|IX Soft tissue and other extraosseous sarcomas|20334315|1999
5-9|3.8|5.7|4.7|95|IX(a) Rhabdomyosarcomas|20334315|1999
5-9|0.6|1.5|0.9|19|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20334315|1999
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20334315|1999
5-9|1.4|2.7|2.0|40|IX(d) Other specified soft tissue sarcomas|20334315|1999
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|20334315|1999
5-9|~|~|~|~|Not classified by ICCC|20334315|1999
5-9|~|~|~|~|V Retinoblastoma|20334315|1999
5-9|4.3|6.3|5.2|106|VI Renal tumors|20334315|1999
5-9|4.0|6.0|4.9|100|VI(a) Nephroblastoma and other nonepithelial renal tumors|20334315|1999
5-9|~|~|~|~|VI(b) Renal carcinomas|20334315|1999
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20334315|1999
5-9|~|~|~|~|VII Hepatic tumors|20334315|1999
5-9|~|~|~|~|VII(a) Hepatoblastoma|20334315|1999
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20334315|1999
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20334315|1999
5-9|4.8|6.9|5.8|117|VIII Malignant bone tumors|20334315|1999
5-9|2.4|4.0|3.1|64|VIII(a) Osteosarcomas|20334315|1999
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20334315|1999
5-9|1.4|2.7|2.0|40|VIII(c) Ewing tumor and related sarcomas of bone|20334315|1999
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20334315|1999
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20334315|1999
5-9|1.2|2.5|1.8|36|X Germ cell, trophoblastic tumors & neoplasms of gonads|20334315|1999
5-9|0.5|1.3|0.8|17|X(a) Intracranial & intraspinal germ cell tumors|20334315|1999
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20334315|1999
5-9|0.5|1.4|0.9|18|X(c) Malignant gonadal germ cell tumors|20334315|1999
5-9|~|~|~|~|X(d) Gonadal carcinomas|20334315|1999
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20334315|1999
5-9|2.4|4.0|3.1|64|XI Other malignant epithelial neoplasms and malignant melanomas|20334315|1999
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20334315|1999
5-9|1.1|2.2|1.6|32|XI(b) Thyroid carcinomas|20334315|1999
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20334315|1999
5-9|~|~|~|~|XI(d) Malignant melanomas|20334315|1999
5-9|~|~|~|~|XI(e) Skin carcinomas|20334315|1999
5-9|~|~|~|~|XI(f) Other and unspecified carcinomas|20334315|1999
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20334315|1999
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20334315|1999
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20334315|1999
<1|219.2|250.5|234.5|878|All ICCC Groups Combined|3744604|1999
<1|37.3|51.0|43.8|164|I Leukemias, myeloproliferative & myelodysplastic diseases|3744604|1999
<1|17.2|26.9|21.6|81|I(a) Lymphoid leukemias|3744604|1999
<1|11.8|20.0|15.5|58|I(b) Acute myeloid leukemias|3744604|1999
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|3744604|1999
<1|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3744604|1999
<1|2.6|7.3|4.5|17|I(e) Unspecified and other specified leukemias|3744604|1999
<1|5.4|11.4|8.0|30|II Lymphomas and reticuloendothelial neoplasms|3744604|1999
<1|~|~|~|~|II(a) Hodgkin lymphomas|3744604|1999
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3744604|1999
<1|~|~|~|~|II(c) Burkitt lymphoma|3744604|1999
<1|3.1|7.9|5.1|19|II(d) Miscellaneous lymphoreticular neoplasms|3744604|1999
<1|~|~|~|~|II(e) Unspecified lymphomas|3744604|1999
<1|25.8|37.4|31.2|117|III CNS and misc intracranial and intraspinal neoplasms|3744604|1999
<1|2.6|7.3|4.5|17|III(a) Ependymomas and choroid plexus tumor|3744604|1999
<1|9.2|16.7|12.6|47|III(b) Astrocytomas|3744604|1999
<1|5.4|11.4|8.0|30|III(c) Intracranial and intraspinal embryonal tumors|3744604|1999
<1|~|~|~|~|III(d) Other gliomas|3744604|1999
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3744604|1999
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3744604|1999
<1|50.0|65.6|57.4|215|IV Neuroblastoma and other peripheral nervous cell tumors|3744604|1999
<1|50.0|65.6|57.4|215|IV(a) Neuroblastoma and ganglioneuroblastoma|3744604|1999
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3744604|1999
<1|11.5|19.7|15.2|57|IX Soft tissue and other extraosseous sarcomas|3744604|1999
<1|5.0|10.8|7.5|28|IX(a) Rhabdomyosarcomas|3744604|1999
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3744604|1999
<1|~|~|~|~|IX(c) Kaposi sarcoma|3744604|1999
<1|~|~|~|~|IX(d) Other specified soft tissue sarcomas|3744604|1999
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3744604|1999
<1|~|~|~|~|Not classified by ICCC|3744604|1999
<1|22.0|32.8|27.0|101|V Retinoblastoma|3744604|1999
<1|13.6|22.4|17.6|66|VI Renal tumors|3744604|1999
<1|12.2|20.6|16.0|60|VI(a) Nephroblastoma and other nonepithelial renal tumors|3744604|1999
<1|~|~|~|~|VI(b) Renal carcinomas|3744604|1999
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3744604|1999
<1|6.3|12.7|9.1|34|VII Hepatic tumors|3744604|1999
<1|6.3|12.7|9.1|34|VII(a) Hepatoblastoma|3744604|1999
<1|~|~|~|~|VII(b) Hepatic carcinomas|3744604|1999
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3744604|1999
<1|~|~|~|~|VIII Malignant bone tumors|3744604|1999
<1|~|~|~|~|VIII(a) Osteosarcomas|3744604|1999
<1|~|~|~|~|VIII(b) Chondrosarcomas|3744604|1999
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3744604|1999
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3744604|1999
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3744604|1999
<1|14.3|23.3|18.4|69|X Germ cell, trophoblastic tumors & neoplasms of gonads|3744604|1999
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3744604|1999
<1|8.5|15.8|11.8|44|X(b) Malignant extracranial & extragonadal germ cell tumors|3744604|1999
<1|3.1|7.9|5.1|19|X(c) Malignant gonadal germ cell tumors|3744604|1999
<1|~|~|~|~|X(d) Gonadal carcinomas|3744604|1999
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3744604|1999
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3744604|1999
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3744604|1999
<1|~|~|~|~|XI(b) Thyroid carcinomas|3744604|1999
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3744604|1999
<1|~|~|~|~|XI(d) Malignant melanomas|3744604|1999
<1|~|~|~|~|XI(e) Skin carcinomas|3744604|1999
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3744604|1999
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3744604|1999
<1|~|~|~|~|XII(a) Other specified malignant tumors|3744604|1999
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3744604|1999
1-4|199.1|213.7|206.3|3119|All ICCC Groups Combined|15119430|2000
1-4|79.7|89.0|84.3|1274|I Leukemias, myeloproliferative & myelodysplastic diseases|15119430|2000
1-4|68.6|77.3|72.8|1101|I(a) Lymphoid leukemias|15119430|2000
1-4|7.4|10.5|8.9|134|I(b) Acute myeloid leukemias|15119430|2000
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|15119430|2000
1-4|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15119430|2000
1-4|1.3|2.8|1.9|29|I(e) Unspecified and other specified leukemias|15119430|2000
1-4|8.0|11.1|9.5|143|II Lymphomas and reticuloendothelial neoplasms|15119430|2000
1-4|0.6|1.7|1.1|16|II(a) Hodgkin lymphomas|15119430|2000
1-4|2.9|5.0|3.8|58|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15119430|2000
1-4|1.3|2.8|2.0|30|II(c) Burkitt lymphoma|15119430|2000
1-4|1.4|3.0|2.1|32|II(d) Miscellaneous lymphoreticular neoplasms|15119430|2000
1-4|~|~|~|~|II(e) Unspecified lymphomas|15119430|2000
1-4|37.0|43.4|40.1|606|III CNS and misc intracranial and intraspinal neoplasms|15119430|2000
1-4|3.8|6.1|4.9|74|III(a) Ependymomas and choroid plexus tumor|15119430|2000
1-4|17.2|21.7|19.3|292|III(b) Astrocytomas|15119430|2000
1-4|8.0|11.2|9.5|144|III(c) Intracranial and intraspinal embryonal tumors|15119430|2000
1-4|3.8|6.1|4.8|73|III(d) Other gliomas|15119430|2000
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15119430|2000
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15119430|2000
1-4|17.3|21.9|19.5|295|IV Neuroblastoma and other peripheral nervous cell tumors|15119430|2000
1-4|17.3|21.9|19.5|295|IV(a) Neuroblastoma and ganglioneuroblastoma|15119430|2000
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15119430|2000
1-4|9.4|12.8|11.0|166|IX Soft tissue and other extraosseous sarcomas|15119430|2000
1-4|7.1|10.1|8.5|128|IX(a) Rhabdomyosarcomas|15119430|2000
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15119430|2000
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15119430|2000
1-4|1.0|2.3|1.5|23|IX(d) Other specified soft tissue sarcomas|15119430|2000
