AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|~|~|~|~|Mortality|60279841|Hodgkin Lymphoma|2000
0-14|0.5|0.6|0.6|348|Incidence|59476204|Hodgkin Lymphoma|2000
0-14|0.1|0.1|0.1|46|Mortality|60279841|Kidney and Renal Pelvis|2000
0-14|0.8|1.0|0.9|531|Incidence|59476204|Kidney and Renal Pelvis|2000
0-14|0.7|0.9|0.8|490|Mortality|60279841|Leukemia|2000
0-14|4.4|4.8|4.6|2720|Incidence|59476204|Leukemia|2000
0-14|0.1|0.1|0.1|55|Mortality|60279841|Non-Hodgkin Lymphoma|2000
0-14|0.9|1.0|0.9|559|Incidence|59476204|Non-Hodgkin Lymphoma|2000
0-14|0.5|0.6|0.6|333|Mortality|60279841|Other|2000
0-14|2.8|3.1|2.9|1725|Incidence|59476204|Other|2000
0-14|0.1|0.1|0.1|71|Mortality|60279841|Soft Tissue|2000
0-14|0.9|1.0|1.0|566|Incidence|59476204|Soft Tissue|2000
0-19|0.4|0.5|0.4|332|Mortality|80574796|Acute Lymphocytic|2000
0-19|3.0|3.3|3.1|2486|Incidence|79474943|Acute Lymphocytic|2000
0-19|0.2|0.3|0.3|222|Mortality|80574796|Acute Myeloid|2000
0-19|0.6|0.7|0.7|522|Incidence|79474943|Acute Myeloid|2000
0-19|2.7|2.9|2.8|2271|Mortality|80574796|All Cancer Sites Combined|2000
0-19|16.1|16.7|16.4|13004|Incidence|79474943|All Cancer Sites Combined|2000
0-19|0.2|0.3|0.2|181|Mortality|80574796|Bones and Joints|2000
0-19|0.8|0.9|0.8|676|Incidence|79474943|Bones and Joints|2000
0-19|0.6|0.7|0.7|545|Mortality|80574796|Brain and Other Nervous System|2000
0-19|3.0|3.2|3.1|2476|Incidence|79474943|Brain and Other Nervous System|2000
0-19|0.0|0.1|0.0|29|Mortality|80574796|Hodgkin Lymphoma|2000
0-19|1.2|1.3|1.2|981|Incidence|79474943|Hodgkin Lymphoma|2000
0-19|0.1|0.1|0.1|54|Mortality|80574796|Kidney and Renal Pelvis|2000
0-19|0.7|0.8|0.7|559|Incidence|79474943|Kidney and Renal Pelvis|2000
0-19|0.8|1.0|0.9|732|Mortality|80574796|Leukemia|2000
0-19|4.0|4.3|4.1|3269|Incidence|79474943|Leukemia|2000
0-19|0.1|0.2|0.1|115|Mortality|80574796|Non-Hodgkin Lymphoma|2000
0-19|1.1|1.2|1.1|911|Incidence|79474943|Non-Hodgkin Lymphoma|2000
0-19|0.5|0.6|0.6|471|Mortality|80574796|Other|2000
0-19|4.0|4.3|4.2|3317|Incidence|79474943|Other|2000
0-19|0.2|0.2|0.2|144|Mortality|80574796|Soft Tissue|2000
0-19|1.0|1.1|1.0|815|Incidence|79474943|Soft Tissue|2000
0-14|0.3|0.4|0.3|208|Mortality|60450257|Acute Lymphocytic|2001
0-14|3.6|4.0|3.8|2255|Incidence|59815030|Acute Lymphocytic|2001
0-14|0.2|0.3|0.3|157|Mortality|60450257|Acute Myeloid|2001
0-14|0.6|0.7|0.7|398|Incidence|59815030|Acute Myeloid|2001
0-14|2.4|2.6|2.5|1494|Mortality|60450257|All Cancer Sites Combined|2001
0-14|15.3|15.9|15.6|9328|Incidence|59815030|All Cancer Sites Combined|2001
0-14|0.1|0.2|0.1|88|Mortality|60450257|Bones and Joints|2001
0-14|0.6|0.8|0.7|432|Incidence|59815030|Bones and Joints|2001
0-14|0.6|0.8|0.7|416|Mortality|60450257|Brain and Other Nervous System|2001
0-14|3.2|3.5|3.4|2001|Incidence|59815030|Brain and Other Nervous System|2001
0-14|~|~|~|~|Mortality|60450257|Hodgkin Lymphoma|2001
0-14|0.5|0.7|0.6|357|Incidence|59815030|Hodgkin Lymphoma|2001
0-14|0.1|0.1|0.1|58|Mortality|60450257|Kidney and Renal Pelvis|2001
0-14|0.8|1.0|0.9|526|Incidence|59815030|Kidney and Renal Pelvis|2001
0-14|0.8|0.9|0.8|503|Mortality|60450257|Leukemia|2001
0-14|4.7|5.0|4.9|2886|Incidence|59815030|Leukemia|2001
0-14|0.0|0.1|0.1|40|Mortality|60450257|Non-Hodgkin Lymphoma|2001
0-14|0.8|1.0|0.9|544|Incidence|59815030|Non-Hodgkin Lymphoma|2001
0-14|0.4|0.6|0.5|297|Mortality|60450257|Other|2001
0-14|3.2|3.5|3.3|1998|Incidence|59815030|Other|2001
0-14|0.1|0.2|0.1|86|Mortality|60450257|Soft Tissue|2001
0-14|0.9|1.1|1.0|584|Incidence|59815030|Soft Tissue|2001
0-19|0.3|0.4|0.4|313|Mortality|80906541|Acute Lymphocytic|2001
0-19|3.1|3.4|3.2|2561|Incidence|80042731|Acute Lymphocytic|2001
0-19|0.2|0.3|0.3|227|Mortality|80906541|Acute Myeloid|2001
0-19|0.7|0.8|0.7|571|Incidence|80042731|Acute Myeloid|2001
0-19|2.6|2.9|2.8|2226|Mortality|80906541|All Cancer Sites Combined|2001
0-19|16.8|17.3|17.0|13639|Incidence|80042731|All Cancer Sites Combined|2001
0-19|0.2|0.3|0.2|189|Mortality|80906541|Bones and Joints|2001
0-19|0.9|1.0|1.0|779|Incidence|80042731|Bones and Joints|2001
0-19|0.6|0.7|0.6|520|Mortality|80906541|Brain and Other Nervous System|2001
0-19|2.9|3.2|3.1|2438|Incidence|80042731|Brain and Other Nervous System|2001
0-19|0.0|0.1|0.0|31|Mortality|80906541|Hodgkin Lymphoma|2001
0-19|1.2|1.3|1.3|1007|Incidence|80042731|Hodgkin Lymphoma|2001
0-19|0.1|0.1|0.1|66|Mortality|80906541|Kidney and Renal Pelvis|2001
0-19|0.6|0.8|0.7|559|Incidence|80042731|Kidney and Renal Pelvis|2001
0-19|0.8|1.0|0.9|728|Mortality|80906541|Leukemia|2001
0-19|4.2|4.5|4.4|3463|Incidence|80042731|Leukemia|2001
0-19|0.1|0.2|0.1|101|Mortality|80906541|Non-Hodgkin Lymphoma|2001
0-19|1.1|1.2|1.1|902|Incidence|80042731|Non-Hodgkin Lymphoma|2001
0-19|0.5|0.6|0.6|444|Mortality|80906541|Other|2001
0-19|4.4|4.7|4.6|3683|Incidence|80042731|Other|2001
0-19|0.2|0.2|0.2|147|Mortality|80906541|Soft Tissue|2001
0-19|0.9|1.1|1.0|808|Incidence|80042731|Soft Tissue|2001
0-14|0.3|0.4|0.4|217|Mortality|60563030|Acute Lymphocytic|2002
0-14|3.5|3.8|3.6|2173|Incidence|59931314|Acute Lymphocytic|2002
0-14|0.2|0.3|0.2|131|Mortality|60563030|Acute Myeloid|2002
0-14|0.6|0.7|0.7|407|Incidence|59931314|Acute Myeloid|2002
0-14|2.4|2.7|2.6|1548|Mortality|60563030|All Cancer Sites Combined|2002
0-14|15.2|15.8|15.5|9298|Incidence|59931314|All Cancer Sites Combined|2002
0-14|0.1|0.2|0.1|85|Mortality|60563030|Bones and Joints|2002
0-14|0.6|0.8|0.7|431|Incidence|59931314|Bones and Joints|2002
0-14|0.7|0.8|0.8|463|Mortality|60563030|Brain and Other Nervous System|2002
0-14|3.4|3.7|3.5|2112|Incidence|59931314|Brain and Other Nervous System|2002
0-14|~|~|~|~|Mortality|60563030|Hodgkin Lymphoma|2002
0-14|0.5|0.6|0.6|336|Incidence|59931314|Hodgkin Lymphoma|2002
0-14|0.1|0.1|0.1|42|Mortality|60563030|Kidney and Renal Pelvis|2002
0-14|0.8|0.9|0.9|509|Incidence|59931314|Kidney and Renal Pelvis|2002
0-14|0.7|0.8|0.7|441|Mortality|60563030|Leukemia|2002
0-14|4.6|4.9|4.7|2831|Incidence|59931314|Leukemia|2002
0-14|0.1|0.2|0.1|74|Mortality|60563030|Non-Hodgkin Lymphoma|2002
0-14|0.8|1.0|0.9|540|Incidence|59931314|Non-Hodgkin Lymphoma|2002
0-14|0.5|0.6|0.6|342|Mortality|60563030|Other|2002
0-14|3.1|3.4|3.2|1935|Incidence|59931314|Other|2002
0-14|0.1|0.2|0.2|95|Mortality|60563030|Soft Tissue|2002
0-14|0.9|1.1|1.0|604|Incidence|59931314|Soft Tissue|2002
0-19|0.4|0.4|0.4|323|Mortality|81173400|Acute Lymphocytic|2002
0-19|3.0|3.3|3.1|2502|Incidence|80317363|Acute Lymphocytic|2002
0-19|0.2|0.3|0.3|209|Mortality|81173400|Acute Myeloid|2002
0-19|0.7|0.8|0.7|575|Incidence|80317363|Acute Myeloid|2002
0-19|2.7|2.9|2.8|2271|Mortality|81173400|All Cancer Sites Combined|2002
0-19|16.8|17.4|17.1|13733|Incidence|80317363|All Cancer Sites Combined|2002
0-19|0.2|0.3|0.2|179|Mortality|81173400|Bones and Joints|2002
0-19|0.9|1.0|0.9|760|Incidence|80317363|Bones and Joints|2002
0-19|0.7|0.8|0.7|571|Mortality|81173400|Brain and Other Nervous System|2002
0-19|3.1|3.3|3.2|2565|Incidence|80317363|Brain and Other Nervous System|2002
0-19|0.0|0.1|0.0|33|Mortality|81173400|Hodgkin Lymphoma|2002
0-19|1.2|1.3|1.2|1005|Incidence|80317363|Hodgkin Lymphoma|2002
0-19|0.0|0.1|0.1|49|Mortality|81173400|Kidney and Renal Pelvis|2002
0-19|0.6|0.7|0.7|537|Incidence|80317363|Kidney and Renal Pelvis|2002
0-19|0.8|0.9|0.8|678|Mortality|81173400|Leukemia|2002
0-19|4.1|4.4|4.3|3407|Incidence|80317363|Leukemia|2002
0-19|0.1|0.2|0.1|118|Mortality|81173400|Non-Hodgkin Lymphoma|2002
0-19|1.1|1.2|1.1|910|Incidence|80317363|Non-Hodgkin Lymphoma|2002
0-19|0.6|0.7|0.6|490|Mortality|81173400|Other|2002
0-19|4.5|4.8|4.6|3725|Incidence|80317363|Other|2002
0-19|0.2|0.2|0.2|153|Mortality|81173400|Soft Tissue|2002
0-19|1.0|1.1|1.0|824|Incidence|80317363|Soft Tissue|2002
0-14|0.4|0.5|0.4|246|Mortality|60628650|Acute Lymphocytic|2003
0-14|3.4|3.7|3.6|2150|Incidence|60628650|Acute Lymphocytic|2003
0-14|0.2|0.3|0.2|142|Mortality|60628650|Acute Myeloid|2003
0-14|0.6|0.7|0.7|397|Incidence|60628650|Acute Myeloid|2003
0-14|2.4|2.7|2.5|1543|Mortality|60628650|All Cancer Sites Combined|2003
0-14|14.9|15.5|15.2|9249|Incidence|60628650|All Cancer Sites Combined|2003
0-14|0.1|0.2|0.1|82|Mortality|60628650|Bones and Joints|2003
0-14|0.6|0.8|0.7|420|Incidence|60628650|Bones and Joints|2003
0-14|0.7|0.8|0.8|458|Mortality|60628650|Brain and Other Nervous System|2003
0-14|3.2|3.5|3.4|2031|Incidence|60628650|Brain and Other Nervous System|2003
0-14|~|~|~|~|Mortality|60628650|Hodgkin Lymphoma|2003
0-14|0.5|0.6|0.6|360|Incidence|60628650|Hodgkin Lymphoma|2003
0-14|0.1|0.1|0.1|54|Mortality|60628650|Kidney and Renal Pelvis|2003
0-14|0.8|1.0|0.9|527|Incidence|60628650|Kidney and Renal Pelvis|2003
0-14|0.8|0.9|0.8|505|Mortality|60628650|Leukemia|2003
0-14|4.4|4.7|4.6|2751|Incidence|60628650|Leukemia|2003
0-14|0.1|0.1|0.1|50|Mortality|60628650|Non-Hodgkin Lymphoma|2003
0-14|0.8|1.0|0.9|548|Incidence|60628650|Non-Hodgkin Lymphoma|2003
0-14|0.5|0.6|0.5|311|Mortality|60628650|Other|2003
0-14|3.2|3.5|3.3|2030|Incidence|60628650|Other|2003
0-14|0.1|0.2|0.1|78|Mortality|60628650|Soft Tissue|2003
0-14|0.9|1.0|1.0|582|Incidence|60628650|Soft Tissue|2003
0-19|0.4|0.4|0.4|328|Mortality|81425816|Acute Lymphocytic|2003
0-19|2.9|3.2|3.0|2451|Incidence|81425816|Acute Lymphocytic|2003
0-19|0.2|0.3|0.3|207|Mortality|81425816|Acute Myeloid|2003
0-19|0.6|0.7|0.7|565|Incidence|81425816|Acute Myeloid|2003
0-19|2.6|2.9|2.7|2233|Mortality|81425816|All Cancer Sites Combined|2003
0-19|16.5|17.1|16.8|13701|Incidence|81425816|All Cancer Sites Combined|2003
0-19|0.2|0.3|0.2|186|Mortality|81425816|Bones and Joints|2003
0-19|0.8|1.0|0.9|732|Incidence|81425816|Bones and Joints|2003
0-19|0.7|0.8|0.7|577|Mortality|81425816|Brain and Other Nervous System|2003
0-19|3.0|3.2|3.1|2496|Incidence|81425816|Brain and Other Nervous System|2003
0-19|0.0|0.0|0.0|21|Mortality|81425816|Hodgkin Lymphoma|2003
0-19|1.2|1.3|1.2|1024|Incidence|81425816|Hodgkin Lymphoma|2003
0-19|0.1|0.1|0.1|65|Mortality|81425816|Kidney and Renal Pelvis|2003
0-19|0.6|0.8|0.7|558|Incidence|81425816|Kidney and Renal Pelvis|2003
0-19|0.8|0.9|0.8|688|Mortality|81425816|Leukemia|2003
0-19|4.0|4.2|4.1|3320|Incidence|81425816|Leukemia|2003
0-19|0.1|0.2|0.1|103|Mortality|81425816|Non-Hodgkin Lymphoma|2003
0-19|1.0|1.2|1.1|882|Incidence|81425816|Non-Hodgkin Lymphoma|2003
0-19|0.5|0.6|0.6|447|Mortality|81425816|Other|2003
0-19|4.5|4.8|4.7|3854|Incidence|81425816|Other|2003
0-19|0.2|0.2|0.2|146|Mortality|81425816|Soft Tissue|2003
0-19|1.0|1.1|1.0|835|Incidence|81425816|Soft Tissue|2003
0-14|0.3|0.4|0.3|202|Mortality|60651802|Acute Lymphocytic|2004
0-14|3.7|4.0|3.9|2332|Incidence|60651802|Acute Lymphocytic|2004
0-14|0.2|0.3|0.2|147|Mortality|60651802|Acute Myeloid|2004
0-14|0.6|0.8|0.7|424|Incidence|60651802|Acute Myeloid|2004
0-14|2.3|2.6|2.5|1492|Mortality|60651802|All Cancer Sites Combined|2004
0-14|15.7|16.3|16.0|9742|Incidence|60651802|All Cancer Sites Combined|2004
0-14|0.1|0.2|0.1|75|Mortality|60651802|Bones and Joints|2004
0-14|0.7|0.8|0.7|453|Incidence|60651802|Bones and Joints|2004
0-14|0.7|0.8|0.7|446|Mortality|60651802|Brain and Other Nervous System|2004
0-14|3.4|3.8|3.6|2177|Incidence|60651802|Brain and Other Nervous System|2004
0-14|~|~|~|~|Mortality|60651802|Hodgkin Lymphoma|2004
0-14|0.5|0.6|0.5|324|Incidence|60651802|Hodgkin Lymphoma|2004
0-14|0.1|0.1|0.1|51|Mortality|60651802|Kidney and Renal Pelvis|2004
0-14|0.8|0.9|0.8|508|Incidence|60651802|Kidney and Renal Pelvis|2004
0-14|0.7|0.8|0.8|455|Mortality|60651802|Leukemia|2004
0-14|4.8|5.1|4.9|3001|Incidence|60651802|Leukemia|2004
0-14|0.1|0.1|0.1|44|Mortality|60651802|Non-Hodgkin Lymphoma|2004
0-14|0.9|1.0|0.9|574|Incidence|60651802|Non-Hodgkin Lymphoma|2004
0-14|0.5|0.6|0.5|317|Mortality|60651802|Other|2004
0-14|3.3|3.6|3.4|2098|Incidence|60651802|Other|2004
0-14|0.1|0.2|0.2|98|Mortality|60651802|Soft Tissue|2004
0-14|0.9|1.1|1.0|607|Incidence|60651802|Soft Tissue|2004
0-19|0.3|0.4|0.4|295|Mortality|81754354|Acute Lymphocytic|2004
0-19|3.2|3.4|3.3|2675|Incidence|81754354|Acute Lymphocytic|2004
0-19|0.2|0.3|0.3|211|Mortality|81754354|Acute Myeloid|2004
0-19|0.7|0.8|0.7|599|Incidence|81754354|Acute Myeloid|2004
0-19|2.6|2.8|2.7|2223|Mortality|81754354|All Cancer Sites Combined|2004
0-19|17.2|17.7|17.4|14330|Incidence|81754354|All Cancer Sites Combined|2004
0-19|0.2|0.3|0.2|189|Mortality|81754354|Bones and Joints|2004
0-19|0.9|1.0|0.9|772|Incidence|81754354|Bones and Joints|2004
0-19|0.6|0.7|0.7|555|Mortality|81754354|Brain and Other Nervous System|2004
0-19|3.2|3.4|3.3|2672|Incidence|81754354|Brain and Other Nervous System|2004
0-19|0.0|0.0|0.0|23|Mortality|81754354|Hodgkin Lymphoma|2004
0-19|1.1|1.3|1.2|990|Incidence|81754354|Hodgkin Lymphoma|2004
0-19|0.1|0.1|0.1|59|Mortality|81754354|Kidney and Renal Pelvis|2004
0-19|0.6|0.7|0.7|550|Incidence|81754354|Kidney and Renal Pelvis|2004
0-19|0.8|0.9|0.8|665|Mortality|81754354|Leukemia|2004
0-19|4.3|4.6|4.4|3606|Incidence|81754354|Leukemia|2004
0-19|0.1|0.1|0.1|100|Mortality|81754354|Non-Hodgkin Lymphoma|2004
0-19|1.0|1.2|1.1|920|Incidence|81754354|Non-Hodgkin Lymphoma|2004
0-19|0.5|0.6|0.6|468|Mortality|81754354|Other|2004
0-19|4.6|4.9|4.8|3963|Incidence|81754354|Other|2004
0-19|0.2|0.2|0.2|164|Mortality|81754354|Soft Tissue|2004
0-19|1.0|1.1|1.0|857|Incidence|81754354|Soft Tissue|2004
0-14|0.3|0.4|0.3|188|Mortality|60519046|Acute Lymphocytic|2005
0-14|3.6|3.9|3.7|2260|Incidence|60519046|Acute Lymphocytic|2005
0-14|0.2|0.3|0.2|137|Mortality|60519046|Acute Myeloid|2005
0-14|0.6|0.7|0.6|390|Incidence|60519046|Acute Myeloid|2005
0-14|2.3|2.5|2.4|1452|Mortality|60519046|All Cancer Sites Combined|2005
0-14|15.3|15.9|15.6|9499|Incidence|60519046|All Cancer Sites Combined|2005
0-14|0.1|0.2|0.1|88|Mortality|60519046|Bones and Joints|2005
0-14|0.6|0.8|0.7|423|Incidence|60519046|Bones and Joints|2005
0-14|0.6|0.8|0.7|426|Mortality|60519046|Brain and Other Nervous System|2005
0-14|3.3|3.6|3.4|2069|Incidence|60519046|Brain and Other Nervous System|2005
0-14|~|~|~|~|Mortality|60519046|Hodgkin Lymphoma|2005
0-14|0.5|0.7|0.6|360|Incidence|60519046|Hodgkin Lymphoma|2005
0-14|0.1|0.1|0.1|54|Mortality|60519046|Kidney and Renal Pelvis|2005
0-14|0.8|0.9|0.8|518|Incidence|60519046|Kidney and Renal Pelvis|2005
0-14|0.6|0.8|0.7|417|Mortality|60519046|Leukemia|2005
0-14|4.6|4.9|4.8|2891|Incidence|60519046|Leukemia|2005
0-14|0.1|0.1|0.1|55|Mortality|60519046|Non-Hodgkin Lymphoma|2005
0-14|0.8|1.0|0.9|554|Incidence|60519046|Non-Hodgkin Lymphoma|2005
0-14|0.5|0.6|0.5|318|Mortality|60519046|Other|2005
0-14|3.2|3.5|3.4|2078|Incidence|60519046|Other|2005
0-14|0.1|0.2|0.1|83|Mortality|60519046|Soft Tissue|2005
0-14|0.9|1.1|1.0|606|Incidence|60519046|Soft Tissue|2005
0-19|0.3|0.4|0.3|267|Mortality|82005260|Acute Lymphocytic|2005
0-19|3.1|3.3|3.2|2591|Incidence|82005260|Acute Lymphocytic|2005
0-19|0.2|0.3|0.3|212|Mortality|82005260|Acute Myeloid|2005
0-19|0.6|0.7|0.7|544|Incidence|82005260|Acute Myeloid|2005
0-19|2.5|2.8|2.7|2183|Mortality|82005260|All Cancer Sites Combined|2005
0-19|17.0|17.6|17.3|14283|Incidence|82005260|All Cancer Sites Combined|2005
0-19|0.2|0.3|0.3|212|Mortality|82005260|Bones and Joints|2005
0-19|0.8|1.0|0.9|752|Incidence|82005260|Bones and Joints|2005
0-19|0.6|0.7|0.7|544|Mortality|82005260|Brain and Other Nervous System|2005
0-19|3.0|3.2|3.1|2549|Incidence|82005260|Brain and Other Nervous System|2005
0-19|0.0|0.0|0.0|22|Mortality|82005260|Hodgkin Lymphoma|2005
0-19|1.2|1.4|1.3|1071|Incidence|82005260|Hodgkin Lymphoma|2005
0-19|0.1|0.1|0.1|62|Mortality|82005260|Kidney and Renal Pelvis|2005
0-19|0.6|0.8|0.7|567|Incidence|82005260|Kidney and Renal Pelvis|2005
0-19|0.7|0.8|0.8|640|Mortality|82005260|Leukemia|2005
0-19|4.1|4.4|4.3|3488|Incidence|82005260|Leukemia|2005
0-19|0.1|0.1|0.1|102|Mortality|82005260|Non-Hodgkin Lymphoma|2005
0-19|1.1|1.3|1.2|973|Incidence|82005260|Non-Hodgkin Lymphoma|2005
0-19|0.5|0.6|0.5|438|Mortality|82005260|Other|2005
0-19|4.7|5.0|4.8|4029|Incidence|82005260|Other|2005
0-19|0.2|0.2|0.2|163|Mortality|82005260|Soft Tissue|2005
0-19|1.0|1.1|1.0|854|Incidence|82005260|Soft Tissue|2005
0-14|0.2|0.3|0.3|174|Mortality|60516709|Acute Lymphocytic|2006
0-14|3.7|4.0|3.9|2352|Incidence|60516709|Acute Lymphocytic|2006
0-14|0.2|0.2|0.2|124|Mortality|60516709|Acute Myeloid|2006
0-14|0.6|0.8|0.7|421|Incidence|60516709|Acute Myeloid|2006
0-14|2.1|2.4|2.2|1360|Mortality|60516709|All Cancer Sites Combined|2006
0-14|15.6|16.2|15.9|9685|Incidence|60516709|All Cancer Sites Combined|2006
0-14|0.1|0.1|0.1|59|Mortality|60516709|Bones and Joints|2006
0-14|0.7|0.8|0.7|439|Incidence|60516709|Bones and Joints|2006
0-14|0.6|0.8|0.7|422|Mortality|60516709|Brain and Other Nervous System|2006
0-14|3.4|3.7|3.5|2123|Incidence|60516709|Brain and Other Nervous System|2006
0-14|~|~|~|~|Mortality|60516709|Hodgkin Lymphoma|2006
0-14|0.6|0.7|0.6|375|Incidence|60516709|Hodgkin Lymphoma|2006
0-14|0.1|0.1|0.1|43|Mortality|60516709|Kidney and Renal Pelvis|2006
0-14|0.8|0.9|0.9|525|Incidence|60516709|Kidney and Renal Pelvis|2006
0-14|0.6|0.7|0.7|411|Mortality|60516709|Leukemia|2006
0-14|4.8|5.1|5.0|3013|Incidence|60516709|Leukemia|2006
0-14|0.1|0.1|0.1|44|Mortality|60516709|Non-Hodgkin Lymphoma|2006
0-14|0.8|1.0|0.9|549|Incidence|60516709|Non-Hodgkin Lymphoma|2006
0-14|0.4|0.5|0.5|296|Mortality|60516709|Other|2006
0-14|3.2|3.5|3.4|2064|Incidence|60516709|Other|2006
0-14|0.1|0.2|0.1|80|Mortality|60516709|Soft Tissue|2006
0-14|0.9|1.1|1.0|597|Incidence|60516709|Soft Tissue|2006
0-19|0.3|0.4|0.3|266|Mortality|82324418|Acute Lymphocytic|2006
0-19|3.2|3.4|3.3|2711|Incidence|82324418|Acute Lymphocytic|2006
0-19|0.2|0.3|0.2|195|Mortality|82324418|Acute Myeloid|2006
0-19|0.7|0.8|0.7|599|Incidence|82324418|Acute Myeloid|2006
0-19|2.4|2.6|2.5|2035|Mortality|82324418|All Cancer Sites Combined|2006
0-19|17.1|17.6|17.3|14390|Incidence|82324418|All Cancer Sites Combined|2006
0-19|0.2|0.2|0.2|174|Mortality|82324418|Bones and Joints|2006
0-19|0.9|1.0|1.0|796|Incidence|82324418|Bones and Joints|2006
0-19|0.6|0.7|0.6|524|Mortality|82324418|Brain and Other Nervous System|2006
0-19|3.1|3.3|3.2|2633|Incidence|82324418|Brain and Other Nervous System|2006
0-19|0.0|0.0|0.0|23|Mortality|82324418|Hodgkin Lymphoma|2006
0-19|1.2|1.3|1.2|1058|Incidence|82324418|Hodgkin Lymphoma|2006
