AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
10-14|~|~|~|~|Incidence|9719801|Male and Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Mortality|20213364|Melanomas of the Skin|1999
10-14|0.3|0.4|0.3|67|Incidence|19935660|Melanomas of the Skin|1999
10-14|~|~|~|~|Mortality|20213364|Mesothelioma|1999
10-14|~|~|~|~|Incidence|19935660|Mesothelioma|1999
10-14|~|~|~|~|Mortality|20213364|Myeloma|1999
10-14|~|~|~|~|Incidence|19935660|Myeloma|1999
10-14|0.1|0.2|0.1|25|Mortality|20213364|Non-Hodgkin Lymphoma|1999
10-14|1.0|1.3|1.2|235|Incidence|19935660|Non-Hodgkin Lymphoma|1999
10-14|~|~|~|~|Mortality|20213364|Oral Cavity and Pharynx|1999
10-14|0.2|0.4|0.3|55|Incidence|19935660|Oral Cavity and Pharynx|1999
10-14|~|~|~|~|Mortality|9855664|Ovary|1999
10-14|0.5|0.9|0.7|68|Incidence|9719801|Ovary|1999
10-14|~|~|~|~|Mortality|20213364|Pancreas|1999
10-14|~|~|~|~|Incidence|19935660|Pancreas|1999
10-14|~|~|~|~|Mortality|10357700|Prostate|1999
10-14|~|~|~|~|Incidence|10215859|Prostate|1999
10-14|~|~|~|~|Mortality|20213364|Stomach|1999
10-14|~|~|~|~|Incidence|19935660|Stomach|1999
10-14|~|~|~|~|Mortality|10357700|Testis|1999
10-14|~|~|~|~|Incidence|10215859|Testis|1999
10-14|~|~|~|~|Mortality|20213364|Thyroid|1999
10-14|0.3|0.5|0.4|74|Incidence|19935660|Thyroid|1999
10-14|~|~|~|~|Mortality|20213364|Urinary Bladder|1999
10-14|~|~|~|~|Incidence|19935660|Urinary Bladder|1999
15-19|3.4|4.0|3.7|745|Mortality|20084602|All Cancer Sites Combined|1999
15-19|19.1|20.3|19.7|3898|Incidence|19785979|All Cancer Sites Combined|1999
15-19|0.5|0.7|0.6|115|Mortality|20084602|Brain and Other Nervous System|1999
15-19|1.8|2.2|2.0|403|Incidence|19785979|Brain and Other Nervous System|1999
15-19|~|~|~|~|Mortality|9761569|Cervix|1999
15-19|0.2|0.4|0.3|27|Incidence|9615370|Cervix|1999
15-19|~|~|~|~|Mortality|20084602|Colon and Rectum|1999
15-19|0.2|0.3|0.3|50|Incidence|19785979|Colon and Rectum|1999
15-19|~|~|~|~|Mortality|9761569|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Incidence|9615370|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Mortality|20084602|Esophagus|1999
15-19|~|~|~|~|Incidence|19785979|Esophagus|1999
15-19|~|~|~|~|Mortality|9761569|Female Breast|1999
15-19|0.1|0.3|0.2|17|Incidence|9615370|Female Breast|1999
15-19|~|~|~|~|Incidence|9615370|Female Breast, <i>in situ</i>|1999
15-19|0.1|0.2|0.2|31|Mortality|20084602|Hodgkin Lymphoma|1999
15-19|2.8|3.3|3.1|610|Incidence|19785979|Hodgkin Lymphoma|1999
15-19|.|.|.|.|Mortality|20084602|Kaposi Sarcoma|1999
15-19|~|~|~|~|Incidence|19785979|Kaposi Sarcoma|1999
15-19|~|~|~|~|Mortality|20084602|Kidney and Renal Pelvis|1999
15-19|0.1|0.2|0.1|29|Incidence|19785979|Kidney and Renal Pelvis|1999
15-19|~|~|~|~|Mortality|20084602|Larynx|1999
15-19|~|~|~|~|Incidence|19785979|Larynx|1999
15-19|1.0|1.3|1.1|221|Mortality|20084602|Leukemias|1999
15-19|2.4|2.9|2.7|526|Incidence|19785979|Leukemias|1999
15-19|0.1|0.1|0.1|19|Mortality|20084602|Liver and Intrahepatic Bile Duct|1999
15-19|0.1|0.2|0.2|35|Incidence|19785979|Liver and Intrahepatic Bile Duct|1999
15-19|~|~|~|~|Mortality|20084602|Lung and Bronchus|1999
15-19|0.1|0.2|0.2|30|Incidence|19785979|Lung and Bronchus|1999
15-19|~|~|~|~|Mortality|9761569|Male and Female Breast|1999
15-19|0.1|0.3|0.2|17|Incidence|9615370|Male and Female Breast|1999
15-19|~|~|~|~|Incidence|9615370|Male and Female Breast, <i>in situ</i>|1999
15-19|~|~|~|~|Mortality|20084602|Melanomas of the Skin|1999
15-19|1.2|1.5|1.3|261|Incidence|19785979|Melanomas of the Skin|1999
15-19|~|~|~|~|Mortality|20084602|Mesothelioma|1999
15-19|~|~|~|~|Incidence|19785979|Mesothelioma|1999
15-19|~|~|~|~|Mortality|20084602|Myeloma|1999
15-19|~|~|~|~|Incidence|19785979|Myeloma|1999
15-19|0.2|0.3|0.3|51|Mortality|20084602|Non-Hodgkin Lymphoma|1999
15-19|1.4|1.8|1.6|310|Incidence|19785979|Non-Hodgkin Lymphoma|1999
15-19|~|~|~|~|Mortality|20084602|Oral Cavity and Pharynx|1999
15-19|0.3|0.5|0.4|71|Incidence|19785979|Oral Cavity and Pharynx|1999
15-19|~|~|~|~|Mortality|9761569|Ovary|1999
15-19|1.1|1.5|1.3|124|Incidence|9615370|Ovary|1999
15-19|~|~|~|~|Mortality|20084602|Pancreas|1999
15-19|~|~|~|~|Incidence|19785979|Pancreas|1999
15-19|~|~|~|~|Mortality|10323033|Prostate|1999
15-19|~|~|~|~|Incidence|10170609|Prostate|1999
15-19|~|~|~|~|Mortality|20084602|Stomach|1999
15-19|~|~|~|~|Incidence|19785979|Stomach|1999
15-19|~|~|~|~|Mortality|10323033|Testis|1999
15-19|2.9|3.6|3.3|332|Incidence|10170609|Testis|1999
15-19|~|~|~|~|Mortality|20084602|Thyroid|1999
15-19|1.6|2.0|1.8|352|Incidence|19785979|Thyroid|1999
15-19|~|~|~|~|Mortality|20084602|Urinary Bladder|1999
15-19|0.1|0.2|0.1|21|Incidence|19785979|Urinary Bladder|1999
5-9|2.3|2.7|2.5|509|Mortality|20606460|All Cancer Sites Combined|1999
5-9|10.6|11.5|11.0|2242|Incidence|20334315|All Cancer Sites Combined|1999
5-9|0.8|1.0|0.9|184|Mortality|20606460|Brain and Other Nervous System|1999
5-9|3.1|3.6|3.3|675|Incidence|20334315|Brain and Other Nervous System|1999
5-9|~|~|~|~|Mortality|10052618|Cervix|1999
5-9|~|~|~|~|Incidence|9919394|Cervix|1999
5-9|~|~|~|~|Mortality|20606460|Colon and Rectum|1999
5-9|~|~|~|~|Incidence|20334315|Colon and Rectum|1999
5-9|~|~|~|~|Mortality|10052618|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Incidence|9919394|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Mortality|20606460|Esophagus|1999
5-9|~|~|~|~|Incidence|20334315|Esophagus|1999
5-9|~|~|~|~|Mortality|10052618|Female Breast|1999
5-9|~|~|~|~|Incidence|9919394|Female Breast|1999
5-9|~|~|~|~|Incidence|9919394|Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Mortality|20606460|Hodgkin Lymphoma|1999
5-9|0.3|0.5|0.4|80|Incidence|20334315|Hodgkin Lymphoma|1999
5-9|.|.|.|.|Mortality|20606460|Kaposi Sarcoma|1999
5-9|~|~|~|~|Incidence|20334315|Kaposi Sarcoma|1999
5-9|0.1|0.2|0.1|23|Mortality|20606460|Kidney and Renal Pelvis|1999
5-9|0.4|0.7|0.5|110|Incidence|20334315|Kidney and Renal Pelvis|1999
5-9|~|~|~|~|Mortality|20606460|Larynx|1999
5-9|~|~|~|~|Incidence|20334315|Larynx|1999
5-9|0.5|0.7|0.6|130|Mortality|20606460|Leukemias|1999
5-9|3.3|3.9|3.6|733|Incidence|20334315|Leukemias|1999
5-9|~|~|~|~|Mortality|20606460|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Incidence|20334315|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Mortality|20606460|Lung and Bronchus|1999
5-9|~|~|~|~|Incidence|20334315|Lung and Bronchus|1999
5-9|~|~|~|~|Mortality|10052618|Male and Female Breast|1999
5-9|~|~|~|~|Incidence|9919394|Male and Female Breast|1999
5-9|~|~|~|~|Incidence|9919394|Male and Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Mortality|20606460|Melanomas of the Skin|1999
5-9|~|~|~|~|Incidence|20334315|Melanomas of the Skin|1999
5-9|~|~|~|~|Mortality|20606460|Mesothelioma|1999
5-9|~|~|~|~|Incidence|20334315|Mesothelioma|1999
5-9|~|~|~|~|Mortality|20606460|Myeloma|1999
5-9|~|~|~|~|Incidence|20334315|Myeloma|1999
5-9|~|~|~|~|Mortality|20606460|Non-Hodgkin Lymphoma|1999
5-9|0.8|1.0|0.9|178|Incidence|20334315|Non-Hodgkin Lymphoma|1999
5-9|~|~|~|~|Mortality|20606460|Oral Cavity and Pharynx|1999
5-9|0.1|0.1|0.1|18|Incidence|20334315|Oral Cavity and Pharynx|1999
5-9|~|~|~|~|Mortality|10052618|Ovary|1999
5-9|0.1|0.3|0.2|17|Incidence|9919394|Ovary|1999
5-9|~|~|~|~|Mortality|20606460|Pancreas|1999
5-9|~|~|~|~|Incidence|20334315|Pancreas|1999
5-9|~|~|~|~|Mortality|10553842|Prostate|1999
5-9|~|~|~|~|Incidence|10414921|Prostate|1999
5-9|~|~|~|~|Mortality|20606460|Stomach|1999
5-9|~|~|~|~|Incidence|20334315|Stomach|1999
5-9|~|~|~|~|Mortality|10553842|Testis|1999
5-9|~|~|~|~|Incidence|10414921|Testis|1999
5-9|~|~|~|~|Mortality|20606460|Thyroid|1999
5-9|0.1|0.2|0.2|32|Incidence|20334315|Thyroid|1999
5-9|~|~|~|~|Mortality|20606460|Urinary Bladder|1999
5-9|~|~|~|~|Incidence|20334315|Urinary Bladder|1999
<1|1.4|2.3|1.8|68|Mortality|3795762|All Cancer Sites Combined|1999
<1|21.9|25.1|23.4|878|Incidence|3744604|All Cancer Sites Combined|1999
<1|~|~|~|~|Mortality|3795762|Brain and Other Nervous System|1999
<1|3.0|4.2|3.6|134|Incidence|3744604|Brain and Other Nervous System|1999
<1|~|~|~|~|Mortality|1852123|Cervix|1999
<1|~|~|~|~|Incidence|1827171|Cervix|1999
<1|~|~|~|~|Mortality|3795762|Colon and Rectum|1999
<1|~|~|~|~|Incidence|3744604|Colon and Rectum|1999
<1|~|~|~|~|Mortality|1852123|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Incidence|1827171|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Mortality|3795762|Esophagus|1999
<1|~|~|~|~|Incidence|3744604|Esophagus|1999
<1|~|~|~|~|Mortality|1852123|Female Breast|1999
<1|~|~|~|~|Incidence|1827171|Female Breast|1999
<1|~|~|~|~|Incidence|1827171|Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Mortality|3795762|Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3744604|Hodgkin Lymphoma|1999
<1|.|.|.|.|Mortality|3795762|Kaposi Sarcoma|1999
<1|~|~|~|~|Incidence|3744604|Kaposi Sarcoma|1999
<1|~|~|~|~|Mortality|3795762|Kidney and Renal Pelvis|1999
<1|1.4|2.3|1.8|69|Incidence|3744604|Kidney and Renal Pelvis|1999
<1|~|~|~|~|Mortality|3795762|Larynx|1999
<1|~|~|~|~|Incidence|3744604|Larynx|1999
<1|0.5|1.0|0.7|27|Mortality|3795762|Leukemias|1999
<1|3.7|5.1|4.4|163|Incidence|3744604|Leukemias|1999
<1|~|~|~|~|Mortality|3795762|Liver and Intrahepatic Bile Duct|1999
<1|0.7|1.4|1.0|38|Incidence|3744604|Liver and Intrahepatic Bile Duct|1999
<1|~|~|~|~|Mortality|3795762|Lung and Bronchus|1999
<1|~|~|~|~|Incidence|3744604|Lung and Bronchus|1999
<1|~|~|~|~|Mortality|1852123|Male and Female Breast|1999
<1|~|~|~|~|Incidence|1827171|Male and Female Breast|1999
<1|~|~|~|~|Incidence|1827171|Male and Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Mortality|3795762|Melanomas of the Skin|1999
<1|~|~|~|~|Incidence|3744604|Melanomas of the Skin|1999
<1|~|~|~|~|Mortality|3795762|Mesothelioma|1999
<1|~|~|~|~|Incidence|3744604|Mesothelioma|1999
<1|~|~|~|~|Mortality|3795762|Myeloma|1999
<1|~|~|~|~|Incidence|3744604|Myeloma|1999
<1|~|~|~|~|Mortality|3795762|Non-Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3744604|Non-Hodgkin Lymphoma|1999
<1|~|~|~|~|Mortality|3795762|Oral Cavity and Pharynx|1999
<1|~|~|~|~|Incidence|3744604|Oral Cavity and Pharynx|1999
<1|~|~|~|~|Mortality|1852123|Ovary|1999
<1|~|~|~|~|Incidence|1827171|Ovary|1999
<1|~|~|~|~|Mortality|3795762|Pancreas|1999
<1|~|~|~|~|Incidence|3744604|Pancreas|1999
<1|~|~|~|~|Mortality|1943639|Prostate|1999
<1|~|~|~|~|Incidence|1917433|Prostate|1999
<1|~|~|~|~|Mortality|3795762|Stomach|1999
<1|~|~|~|~|Incidence|3744604|Stomach|1999
<1|~|~|~|~|Mortality|1943639|Testis|1999
<1|0.6|1.6|1.0|20|Incidence|1917433|Testis|1999
<1|~|~|~|~|Mortality|3795762|Thyroid|1999
<1|~|~|~|~|Incidence|3744604|Thyroid|1999
<1|~|~|~|~|Mortality|3795762|Urinary Bladder|1999
<1|~|~|~|~|Incidence|3744604|Urinary Bladder|1999
1-4|2.5|3.0|2.7|420|Mortality|15322337|All Cancer Sites Combined|2000
1-4|19.9|21.4|20.6|3119|Incidence|15119430|All Cancer Sites Combined|2000
1-4|0.6|0.8|0.7|104|Mortality|15322337|Brain and Other Nervous System|2000
1-4|3.8|4.5|4.2|628|Incidence|15119430|Brain and Other Nervous System|2000
1-4|~|~|~|~|Mortality|7485852|Cervix|2000
1-4|~|~|~|~|Incidence|7386625|Cervix|2000
1-4|~|~|~|~|Mortality|15322337|Colon and Rectum|2000
1-4|~|~|~|~|Incidence|15119430|Colon and Rectum|2000
1-4|~|~|~|~|Mortality|7485852|Corpus and Uterus, NOS|2000
1-4|~|~|~|~|Incidence|7386625|Corpus and Uterus, NOS|2000
1-4|~|~|~|~|Mortality|15322337|Esophagus|2000
1-4|~|~|~|~|Incidence|15119430|Esophagus|2000
1-4|~|~|~|~|Mortality|7485852|Female Breast|2000
1-4|~|~|~|~|Incidence|7386625|Female Breast|2000
1-4|~|~|~|~|Incidence|7386625|Female Breast, <i>in situ</i>|2000
1-4|~|~|~|~|Mortality|15322337|Hodgkin Lymphoma|2000
1-4|0.1|0.2|0.1|16|Incidence|15119430|Hodgkin Lymphoma|2000
1-4|.|.|.|.|Mortality|15322337|Kaposi Sarcoma|2000
1-4|~|~|~|~|Incidence|15119430|Kaposi Sarcoma|2000
1-4|~|~|~|~|Mortality|15322337|Kidney and Renal Pelvis|2000
1-4|1.9|2.4|2.1|325|Incidence|15119430|Kidney and Renal Pelvis|2000
1-4|~|~|~|~|Mortality|15322337|Larynx|2000
1-4|~|~|~|~|Incidence|15119430|Larynx|2000
1-4|0.8|1.1|0.9|137|Mortality|15322337|Leukemias|2000
1-4|8.0|8.9|8.4|1274|Incidence|15119430|Leukemias|2000
1-4|0.1|0.2|0.2|23|Mortality|15322337|Liver and Intrahepatic Bile Duct|2000
1-4|0.4|0.6|0.5|70|Incidence|15119430|Liver and Intrahepatic Bile Duct|2000
1-4|~|~|~|~|Mortality|15322337|Lung and Bronchus|2000
1-4|~|~|~|~|Incidence|15119430|Lung and Bronchus|2000
1-4|~|~|~|~|Mortality|7485852|Male and Female Breast|2000
1-4|~|~|~|~|Incidence|7386625|Male and Female Breast|2000
1-4|~|~|~|~|Incidence|7386625|Male and Female Breast, <i>in situ</i>|2000
1-4|~|~|~|~|Mortality|15322337|Melanomas of the Skin|2000
1-4|~|~|~|~|Incidence|15119430|Melanomas of the Skin|2000
1-4|~|~|~|~|Mortality|15322337|Mesothelioma|2000
1-4|~|~|~|~|Incidence|15119430|Mesothelioma|2000
1-4|~|~|~|~|Mortality|15322337|Myeloma|2000
1-4|~|~|~|~|Incidence|15119430|Myeloma|2000
1-4|~|~|~|~|Mortality|15322337|Non-Hodgkin Lymphoma|2000
1-4|0.5|0.8|0.6|95|Incidence|15119430|Non-Hodgkin Lymphoma|2000
1-4|~|~|~|~|Mortality|15322337|Oral Cavity and Pharynx|2000
1-4|~|~|~|~|Incidence|15119430|Oral Cavity and Pharynx|2000
1-4|~|~|~|~|Mortality|7485852|Ovary|2000
1-4|~|~|~|~|Incidence|7386625|Ovary|2000
1-4|~|~|~|~|Mortality|15322337|Pancreas|2000
1-4|~|~|~|~|Incidence|15119430|Pancreas|2000
1-4|~|~|~|~|Mortality|7836485|Prostate|2000
1-4|~|~|~|~|Incidence|7732805|Prostate|2000
1-4|~|~|~|~|Mortality|15322337|Stomach|2000
1-4|~|~|~|~|Incidence|15119430|Stomach|2000
1-4|~|~|~|~|Mortality|7836485|Testis|2000
1-4|0.1|0.4|0.2|19|Incidence|7732805|Testis|2000
1-4|~|~|~|~|Mortality|15322337|Thyroid|2000
1-4|~|~|~|~|Incidence|15119430|Thyroid|2000
1-4|~|~|~|~|Mortality|15322337|Urinary Bladder|2000
1-4|~|~|~|~|Incidence|15119430|Urinary Bladder|2000
10-14|2.3|2.8|2.5|525|Mortality|20637696|All Cancer Sites Combined|2000
10-14|12.0|13.0|12.5|2546|Incidence|20358437|All Cancer Sites Combined|2000
10-14|0.6|0.9|0.7|150|Mortality|20637696|Brain and Other Nervous System|2000
10-14|2.6|3.0|2.8|571|Incidence|20358437|Brain and Other Nervous System|2000
10-14|~|~|~|~|Mortality|10063054|Cervix|2000
10-14|~|~|~|~|Incidence|9926394|Cervix|2000
10-14|~|~|~|~|Mortality|20637696|Colon and Rectum|2000
10-14|~|~|~|~|Incidence|20358437|Colon and Rectum|2000
10-14|~|~|~|~|Mortality|10063054|Corpus and Uterus, NOS|2000
10-14|~|~|~|~|Incidence|9926394|Corpus and Uterus, NOS|2000
10-14|~|~|~|~|Mortality|20637696|Esophagus|2000
10-14|~|~|~|~|Incidence|20358437|Esophagus|2000
10-14|~|~|~|~|Mortality|10063054|Female Breast|2000
10-14|~|~|~|~|Incidence|9926394|Female Breast|2000
10-14|~|~|~|~|Incidence|9926394|Female Breast, <i>in situ</i>|2000
10-14|~|~|~|~|Mortality|20637696|Hodgkin Lymphoma|2000
10-14|1.1|1.4|1.3|258|Incidence|20358437|Hodgkin Lymphoma|2000
10-14|.|.|.|.|Mortality|20637696|Kaposi Sarcoma|2000
10-14|~|~|~|~|Incidence|20358437|Kaposi Sarcoma|2000
10-14|~|~|~|~|Mortality|20637696|Kidney and Renal Pelvis|2000
10-14|0.1|0.2|0.1|23|Incidence|20358437|Kidney and Renal Pelvis|2000
10-14|~|~|~|~|Mortality|20637696|Larynx|2000
10-14|~|~|~|~|Incidence|20358437|Larynx|2000
10-14|0.7|1.0|0.8|173|Mortality|20637696|Leukemias|2000
10-14|2.3|2.7|2.5|510|Incidence|20358437|Leukemias|2000
10-14|~|~|~|~|Mortality|20637696|Liver and Intrahepatic Bile Duct|2000
10-14|0.1|0.2|0.1|22|Incidence|20358437|Liver and Intrahepatic Bile Duct|2000
10-14|~|~|~|~|Mortality|20637696|Lung and Bronchus|2000
10-14|~|~|~|~|Incidence|20358437|Lung and Bronchus|2000
10-14|~|~|~|~|Mortality|10063054|Male and Female Breast|2000
10-14|~|~|~|~|Incidence|9926394|Male and Female Breast|2000
10-14|~|~|~|~|Incidence|9926394|Male and Female Breast, <i>in situ</i>|2000
10-14|~|~|~|~|Mortality|20637696|Melanomas of the Skin|2000
10-14|0.3|0.4|0.3|67|Incidence|20358437|Melanomas of the Skin|2000
10-14|~|~|~|~|Mortality|20637696|Mesothelioma|2000
10-14|~|~|~|~|Incidence|20358437|Mesothelioma|2000
10-14|~|~|~|~|Mortality|20637696|Myeloma|2000
10-14|~|~|~|~|Incidence|20358437|Myeloma|2000
10-14|0.1|0.2|0.1|24|Mortality|20637696|Non-Hodgkin Lymphoma|2000
10-14|1.0|1.3|1.1|234|Incidence|20358437|Non-Hodgkin Lymphoma|2000
10-14|~|~|~|~|Mortality|20637696|Oral Cavity and Pharynx|2000
10-14|0.2|0.3|0.2|49|Incidence|20358437|Oral Cavity and Pharynx|2000
10-14|~|~|~|~|Mortality|10063054|Ovary|2000
10-14|0.6|0.9|0.7|72|Incidence|9926394|Ovary|2000
10-14|~|~|~|~|Mortality|20637696|Pancreas|2000
10-14|~|~|~|~|Incidence|20358437|Pancreas|2000
10-14|~|~|~|~|Mortality|10574642|Prostate|2000
10-14|~|~|~|~|Incidence|10432043|Prostate|2000
10-14|~|~|~|~|Mortality|20637696|Stomach|2000
10-14|~|~|~|~|Incidence|20358437|Stomach|2000
10-14|~|~|~|~|Mortality|10574642|Testis|2000
10-14|0.1|0.3|0.2|20|Incidence|10432043|Testis|2000
10-14|~|~|~|~|Mortality|20637696|Thyroid|2000
10-14|0.4|0.6|0.5|93|Incidence|20358437|Thyroid|2000
10-14|~|~|~|~|Mortality|20637696|Urinary Bladder|2000
10-14|~|~|~|~|Incidence|20358437|Urinary Bladder|2000
15-19|3.4|3.9|3.7|745|Mortality|20294955|All Cancer Sites Combined|2000
15-19|20.0|21.2|20.6|4116|Incidence|19998739|All Cancer Sites Combined|2000
15-19|0.4|0.6|0.5|105|Mortality|20294955|Brain and Other Nervous System|2000
